Id,SalePrice
1461,123878.44
1462,159109.67
1463,187585.97
1464,195269.7
1465,201119.95
1466,170947.73
1467,169600.31
1468,167249.69
1469,174917.05
1470,124110.875
1471,201429.97
1472,94621.61
1473,96626.62
1474,150485.73
1475,119768.445
1476,384002.78
1477,248509.4
1478,302685.78
1479,268769.8
1480,435730.22
1481,322688.94
1482,206966.86
1483,174294.9
1484,173593.58
1485,173156.66
1486,198179.33
1487,349666.28
1488,237448.47
1489,205091.95
1490,214302.78
1491,191163.5
1492,89366.01
1493,179788.69
1494,311330.8
1495,284238.34
1496,233740.08
1497,182584.14
1498,160017.7
1499,154535.33
1500,155789.77
1501,180353.47
1502,155235.25
1503,312317.0
1504,236506.89
1505,224974.73
1506,183969.8
1507,242144.5
1508,199707.06
1509,159697.75
1510,149002.8
1511,146057.28
1512,174349.42
1513,145813.0
1514,162920.78
1515,201884.0
1516,155430.33
1517,157711.78
1518,130899.04
1519,230407.52
1520,138775.61
1521,142506.14
1522,171690.19
1523,117224.86
1524,121211.13
1525,123278.98
1526,124647.34
1527,104395.805
1528,133001.72
1529,143729.34
1530,168863.16
1531,107138.664
1532,94816.734
1533,148402.66
1534,119781.88
1535,156379.77
1536,116207.03
1537,73708.63
1538,170159.08
1539,220123.75
1540,98703.46
1541,149119.62
1542,137891.75
1543,213534.34
1544,86748.47
1545,104420.7
1546,127168.93
1547,141494.78
1548,133195.5
1549,109629.25
1550,144020.25
1551,109243.195
1552,122059.65
1553,156438.89
1554,111885.66
1555,168768.0
1556,87150.86
1557,102954.055
1558,89953.984
1559,95249.016
1560,135673.42
1561,133541.1
1562,131629.36
1563,126483.32
1564,147556.55
1565,155536.34
1566,230822.73
1567,67743.84
1568,221834.73
1569,127338.71
1570,139910.77
1571,127233.31
1572,143500.86
1573,247459.7
1574,105872.09
1575,228132.45
1576,229110.78
1577,198972.33
1578,150223.9
1579,144765.31
1580,189710.66
1581,140759.8
1582,129739.54
1583,304643.28
1584,231057.25
1585,141428.25
1586,65269.285
1587,101444.336
1588,153825.39
1589,92012.414
1590,135293.92
1591,99015.89
1592,120609.36
1593,128457.46
1594,183643.19
1595,111336.195
1596,232843.64
1597,175676.28
1598,193186.61
1599,180840.89
1600,180358.2
1601,62850.223
1602,110952.7
1603,86104.13
1604,268004.56
1605,257308.02
1606,171739.34
1607,168833.72
1608,227676.81
1609,194771.56
1610,156068.25
1611,147412.53
1612,165071.72
1613,160512.78
1614,122370.41
1615,90727.836
1616,77463.51
1617,90395.68
1618,128045.83
